,lacteos
0,2880656.169
1,2855639.9
2,3188259.169
3,3257140.159
4,3232635.767
5,3322049.564
6,3534096.704
7,3604272.106
8,3640337.038
9,3698962.63
10,3641546.557
11,3684165.032
12,3431469.946
13,3398477.22
14,3996896.453
15,3762309.365
16,3872325.675
17,4138338.417
18,4337129.471
19,4432915.802
20,4594864.598
21,4894616.842
22,4918020.845
23,5209569.968
24,4824152.727
25,4837064.586
26,5729158.058
27,5754857.498
28,6223354.018
29,6642410.276
30,6625542.26
31,7351482.511
32,7182926.619
33,7900014.451
34,7523217.587
35,7985919.656
36,7612363.148
37,8169113.796
38,10540220.76
39,9518952.156
40,9450381.787
41,9239346.591
42,9592798.115
43,9681663.083
44,9349357.228
45,10152813.64
46,9625513.239
47,10374402.29
48,7267204.6
49,10043345.31
50,11823788.25
51,12309094.62
52,13116541.51
53,13537963.96
54,14292062.1
55,14512831.62
56,14489891.67
57,15561032.0
58,14720418.14
59,16275221.46
60,16104766.21
61,16139816.5
62,18419163.96
63,19309461.59
