,subtotal_ventas_alimentos_bebidas
0,18043789.16
1,17656879.08
2,19186248.05
3,20257135.1
4,18904574.4
5,19601615.8
6,20882660.95
7,20666687.82
8,21025932.94
9,21743902.23
10,21967173.4
11,26888567.26
12,21415403.1
13,21328882.9
14,55297622.9
15,55297622.9
16,55297622.9
17,55297622.9
18,55297622.9
19,55297622.9
20,55297622.9
21,55297622.9
22,55297622.9
23,38897886.83
24,30532173.73
25,30680257.79
26,35639253.95
27,35631833.0
28,35586722.0
29,37819361.45
30,38131665.01
31,41692727.53
32,41090401.96
33,45492474.3
34,46073845.36
35,57646427.96
36,47496667.89
37,50272765.35
38,61417479.25
39,54905216.88
40,54285024.12
41,53685318.33
42,55359666.66
43,55526501.8
44,53998395.66
45,55297622.9
46,60913255.91
47,80643208.3
48,67171235.97
49,65274742.25
50,75459017.55
51,76493949.46
52,78026097.55
53,80623853.66
54,87238128.85
55,87044720.92
56,87296730.51
57,97615705.17
58,95609863.77
60,103783610.3
61,105530494.0
